"id","name","module","description","created_at","updated_at"
"18341","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 15:11:02","2024-09-07 15:11:02"
"18329","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 14:52:10","2024-09-07 14:52:10"
"18306","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 14:19:28","2024-09-07 14:19:28"
"18227","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 12:35:55","2024-09-07 12:35:55"
"18215","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-07 12:19:34","2024-09-07 12:19:34"
"18116","RegisterController","android","SocketException: Failed host lookup: 'api.razorpay.com' (OS Error: No address associated with hostname, errno = 7)","2024-09-07 09:34:55","2024-09-07 09:34:55"
"18115","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 09:32:58","2024-09-07 09:32:58"
"18103","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-07 09:23:12","2024-09-07 09:23:12"
"18096","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 09:14:25","2024-09-07 09:14:25"
"18081","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-07 09:04:10","2024-09-07 09:04:10"
"18049","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 08:38:02","2024-09-07 08:38:02"
"18048","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 08:36:00","2024-09-07 08:36:00"
"17571","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-06 17:22:59","2024-09-06 17:22:59"
"17566","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.unknown, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1000.))","2024-09-06 17:18:27","2024-09-06 17:18:27"
"17561","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-06 17:14:35","2024-09-06 17:14:35"
"17560","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-06 17:14:30","2024-09-06 17:14:30"
